structid	chain	unp
10GS	A	P09211
10GS	B	P09211
11GS	A	P09211
11GS	B	P09211
121P	A	P01112
12CA	A	P00918
12GS	A	P09211
12GS	B	P09211
133L	A	P61626
134L	A	P61626
13GS	A	P09211
13GS	B	P09211
14GS	A	P09211
14GS	B	P09211
16GS	A	P09211
16GS	B	P09211
17GS	A	P09211
17GS	B	P09211
18GS	A	P09211
18GS	B	P09211
19GS	A	P09211
19GS	B	P09211
1A00	A	P69905
1A00	B	P68871
1A00	C	P69905
1A00	D	P68871
1A01	A	P69905
1A01	B	P68871
1A01	C	P69905
1A01	D	P68871
1A02	F	P01100
1A02	J	P05412
1A02	N	Q13469
1A07	A	P12931
1A07	B	P12931
1A08	A	P12931
1A08	B	P12931
1A09	A	P12931
1A09	B	P12931
1A0N	A	P27986
1A0N	B	P06241
1A0U	A	P69905
1A0U	B	P68871
1A0U	C	P69905
1A0U	D	P68871
1A0Z	A	P69905
1A0Z	B	P68871
1A0Z	C	P69905
1A0Z	D	P68871
1A12	A	P18754
1A12	B	P18754
1A12	C	P18754
1A15	A	P48061
1A15	B	P48061
1A17	A	P53041
1A1A	A	P12931
1A1A	B	P12931
1A1B	A	P12931
1A1B	B	P12931
1A1C	A	P12931
1A1C	B	P12931
1A1E	A	P12931
1A1E	B	P12931
1A1W	A	Q13158
1A1X	A	P56278
1A1Z	A	Q13158
1A22	A	P01241
1A22	B	P10912
1A27	A	P14061
1A28	A	P06401
1A28	B	P06401
1A2B	A	P61586
1A2C	H	P00734
1A2C	L	P00734
1A31	A	P11387
1A35	A	P11387
1A36	A	P11387
1A3B	H	P00734
1A3B	L	P00734
1A3E	H	P00734
1A3E	L	P00734
1A3K	A	P17931
1A3N	A	P69905
1A3N	B	P68871
1A3N	C	P69905
1A3N	D	P68871
1A3O	A	P69905
1A3O	B	P68871
1A3O	C	P69905
1A3O	D	P68871
1A3Q	A	Q00653
1A3Q	B	Q00653
1A3S	A	P63279
1A42	A	P00918
1A46	H	P00734
1A46	L	P00734
1A4I	A	P11586
1A4I	B	P11586
1A4P	A	P60903
1A4P	B	P60903
1A4R	A	P60953
1A4R	B	P60953
1A4V	A	P00709
1A4W	H	P00734
1A4W	L	P00734
1A4Y	A	P13489
1A4Y	B	P03950
1A4Y	D	P13489
1A4Y	E	P03950
1A52	A	P03372
1A52	B	P03372
1A5E	A	P42771
1A5G	H	P00734
1A5G	L	P00734
1A5H	A	P00750
1A5H	B	P00750
1A5H	C	P00750
1A5H	D	P00750
1A5R	A	P63165
1A5Y	A	P18031
1A61	H	P00734
1A61	L	P00734
1A66	A	O95644
1A6Q	A	P35813
1A6Y	A	P20393
1A6Y	B	P20393
1A6Z	A	Q30201
1A6Z	B	P61769
1A6Z	C	Q30201
1A6Z	D	P61769
1A7A	A	P23526
1A7A	B	P23526
1A7C	A	P05121
1A7F	A	P01308
1A7F	B	P01308
1A7S	A	P20160
1A7X	A	P62942
1A7X	B	P62942
1A81	A	P43405
1A81	B	P07766
1A81	C	P43405
1A81	D	P07766
1A81	E	P43405
1A81	F	P07766
1A81	G	P43405
1A81	H	P07766
1A81	I	P43405
1A81	J	P07766
1A81	K	P43405
1A81	L	P07766
1A85	A	P22894
1A86	A	P22894
1A8E	A	P02787
1A8F	A	P02787
1A8M	A	P01375
1A8M	B	P01375
1A8M	C	P01375
1A93	A	P01106
1A9N	A	P09661
1A9N	B	P08579
1A9N	C	P09661
1A9N	D	P08579
1A9U	A	Q16539
1A9W	A	P69905
1A9W	C	P69905
1A9W	E	P02100
1A9W	F	P02100
1AA2	A	Q01082
1AA9	A	P01112
1AAP	A	P05067
1AAP	B	P05067
1AAX	A	P18031
1AB2	A	P00519
1ABI	H	P00734
1ABI	L	P00734
1ABJ	H	P00734
1ABJ	L	P00734
1ABN	A	P15121
1ABW	A	P69905
1ABW	B	P68871
1ABW	D	P68871
1ABY	A	P69905
1ABY	B	P68871
1ABY	D	P68871
1AD5	A	P08631
1AD5	B	P08631
1AD6	A	P06400
1AD8	H	P00734
1AD8	L	P00734
1ADQ	A	P01861
1ADS	A	P15121
1ADX	A	P07204
1ADZ	A	P10646
1AE5	A	P20160
1AE8	H	P00734
1AE8	L	P00734
1AFE	H	P00734
1AFE	L	P00734
1AFO	A	P02724
1AFO	B	P02724
1AGN	A	P40394
1AGN	B	P40394
1AGN	C	P40394
1AGN	D	P40394
1AGP	A	P01112
1AGS	A	P09210
1AGS	B	P09210
1AGW	A	P11362
1AGW	B	P11362
1AH1	A	P16410
1AHT	H	P00734
1AHT	L	P00734
1AHW	C	P13726
1AHW	F	P13726
1AI0	A	P01308
1AI0	B	P01308
1AI0	C	P01308
1AI0	D	P01308
1AI0	E	P01308
1AI0	F	P01308
1AI0	G	P01308
1AI0	H	P01308
1AI0	I	P01308
1AI0	J	P01308
1AI0	K	P01308
1AI0	L	P01308
1AI8	H	P00734
1AI8	L	P00734
1AIE	A	P04637
1AII	A	P12429
1AIN	A	P04083
1AIU	A	P10599
1AIX	H	P00734
1AIX	L	P00734
1AIY	A	P01308
1AIY	B	P01308
1AIY	C	P01308
1AIY	D	P01308
1AIY	E	P01308
1AIY	F	P01308
1AIY	G	P01308
1AIY	H	P01308
1AIY	I	P01308
1AIY	J	P01308
1AIY	K	P01308
1AIY	L	P01308
1AJ7	H	P01857
1AJ9	A	P69905
1AJ9	B	P68871
1AJE	A	P60953
1AJJ	A	P01130
1AK4	A	P62937
1AK4	B	P62937
1AKZ	A	P13051
1ALD	A	P04075
1ALE	A	P02654
1ALF	A	P02654
1ALG	A	P00390
1ALU	A	P05231
1ALY	A	P29965
1AM4	A	Q07960
1AM4	B	Q07960
1AM4	C	Q07960
1AM4	D	P60953
1AM4	E	P60953
1AM4	F	P60953
1AM6	A	P00918
1AM9	A	P36956
1AM9	B	P36956
1AM9	C	P36956
1AM9	D	P36956
1AMB	A	P05067
1AMC	A	P05067
1AML	A	P05067
1AN0	A	P60953
1AN0	B	P60953
1AN2	A	P61244
1AN4	A	P22415
1AN4	B	P22415
1ANG	A	P03950
1ANT	I	P01008
1ANT	L	P01008
1ANW	A	P08758
1ANW	B	P08758
1ANX	A	P08758
1ANX	B	P08758
1ANX	C	P08758
1AO3	A	P04275
1AO3	B	P04275
1AO6	A	P02768
1AO6	B	P02768
1AOA	A	P13797
1AOS	A	P04424
1AOS	B	P04424
1AOT	F	P06241
1AOU	F	P06241
1AOX	A	P17301
1AOX	B	P17301
1AP4	A	P63316
1APJ	A	P35555
1APQ	A	P00736
1APY	A	P20933
1APY	B	P20933
1APY	C	P20933
1APY	D	P20933
1APZ	A	P20933
1APZ	B	P20933
1APZ	C	P20933
1APZ	D	P20933
1AQ1	A	P24941
1AQC	A	Q02410
1AQC	B	Q02410
1AQV	A	P09211
1AQV	B	P09211
1AQW	A	P09211
1AQW	B	P09211
1AQW	C	P09211
1AQW	D	P09211
1AQX	A	P09211
1AQX	B	P09211
1AQX	C	P09211
1AQX	D	P09211
1ARK	A	P20929
