COSMICClust	COSMICDisp	COSMICNonSig	ExACClust	ExACDisp	ExACNonSig	MultiClust	MultiSeg	MultiCorr
1RJBA	2YDXE	2A14A	1ZEDA	3U9JA	2EPTA	3GT8C	2RD0A	2PF6A
3IJ9A		1FZDE	1T8UB	2OO4A	2EQEA	2RD0A	2NPPA	
4NM6A		4DG4B	6PAXA	2BECA	2EGAA	2NPPA	2SHPB	
2WTKC		3BD9A	3IJ9A	3F0WA	2EPWA	2SHPB	2Y1MF	
2Y1MF		4EPUA	3AQGB	2C0MF	2EPZA	2Y1MF	1RJBA	
2SHPB		1KYNB	3FE1B	1V27A	2EE1A	1RJBA	2OVQB	
3GT8C		3ZFYA	1U6GC	3V2WA	2EQ3A			
2K60A		3MDYA	3E9LA	3I3TG	2EZYA			
1D5RA		2H8KA	1J1ED	1WXTA	2EW3A			
2OVQB		2LNLA	3HLKB	2LLYA	2EKFA			
4BHWB		4L7DB	3AV1E	2O36A	2EMVA			
4JSPB		4HONA	4F8QA	2HHLB	2EM3A			
1MFVA		2QYMA	1IHIB	3MOPC	2EDVA			
2RD0A		1OP8F	4F8TA	3K0WA	2EV8A			
2Q7ZA		1WZ9B	3EVIA	3AHRA	2EQOA			
		3EDIA	2Q7ZA	3HHDC	2F5YA			
		2X7OA		3L4GB	2EK1B			
		1D1TD		3GT8C	2EOHA			
		3S97C		1OZNA	2EOOA			
		3COSD		3B6VA	2EPAA			
		3S4YB		1MSVA	2EELA			
		2FUND		4DHFA	2ENEA			
		3IECB		3DLXA	2EM6A			
		1HLGB		3BE2A	2EEHA			
		4JIHA		1P22A	2EQXA			
		2W4OA		1R6TA	2EEDA			
		3FJUA		1QSCA	2EP8A			
		2XSXB		4FBNA	2EQSA			
		6JDWA			2EMPA			
		1UGNA			2EMWA			
		4JVMA			2ENZA			
		3NXPA			2EMGA			
		1DMWA			2F60K			
		2VDYA			2ERRA			
		1TAZA			2EKOA			
		1QDDA			2EDYA			
		1C9YA			2EQUA			
		2QEPA			2EJMA			
		4A35A			2ERXA			
		4FVPA			2EGMA			
		2YD6A			2F0XA			
		3D59A			2EW1A			
		3GDQA			2F15A			
		4GLLA			2EE2A			
		4L1MA			2EO1A			
		4AT4A			2EOZA			
		2WM1A			2ERYB			
		1R03A			2EE0A			
		4MI0A			2ENNA			
		1XDMD			1Z4RA			
		4GT4B			2EKXA			
		2OAYA			2F3ME			
		2BB5B			2EE3A			
		2DYLA			2F4WB			
		1FSUA			2EOCA			
		4ASCA			2EE6A			
		2PIPL			2EJ8B			
		3II5A			2ELLA			
		4ARKA			2F3IA			
		3GVPC			2F8AB			
		4MZRB			2ENYA			
		2A8BA			2ESBA			
		4F0IA			2ENPA			
