pdb	chain	transcript	homologue
3PQZ	A	ENST00000309156	0
3PQZ	A	ENST00000394211	0
3PQZ	A	ENST00000445327	0
3PQZ	A	ENST00000394209	0
3PQZ	A	ENST00000394204	0
3PQZ	A	ENST00000309185	0
3PQZ	B	ENST00000309156	0
3PQZ	B	ENST00000394211	0
3PQZ	B	ENST00000445327	0
3PQZ	B	ENST00000394209	0
3PQZ	B	ENST00000394204	0
3PQZ	B	ENST00000309185	0
3PQZ	C	ENST00000309156	0
3PQZ	C	ENST00000394211	0
3PQZ	C	ENST00000445327	0
3PQZ	C	ENST00000394209	0
3PQZ	C	ENST00000394204	0
3PQZ	C	ENST00000309185	0
3PQZ	D	ENST00000309156	0
3PQZ	D	ENST00000394211	0
3PQZ	D	ENST00000445327	0
3PQZ	D	ENST00000394209	0
3PQZ	D	ENST00000394204	0
3PQZ	D	ENST00000309185	0
