modelid	unp
ENSP00000463419_1	None
ENSP00000463419_2	None
ENSP00000463419_3	None
ENSP00000281772_1	None
ENSP00000281772_2	None
ENSP00000281772_3	None
ENSP00000405724_1	None
ENSP00000405724_2	None
ENSP00000393432_1	None
ENSP00000393432_2	None
ENSP00000377112_1	None
ENSP00000377112_2	None
ENSP00000377112_3	None
ENSP00000377112_4	None
ENSP00000415713_1	None
ENSP00000415713_2	None
ENSP00000371212_1	None
ENSP00000371212_2	None
ENSP00000371212_3	None
ENSP00000371212_4	None
ENSP00000371212_5	None
ENSP00000371214_1	None
ENSP00000371214_2	None
ENSP00000371214_3	None
ENSP00000371214_4	None
ENSP00000339135_1	None
ENSP00000339135_2	None
ENSP00000339135_3	None
ENSP00000410655_1	None
ENSP00000410655_2	None
ENSP00000410655_3	None
ENSP00000410655_4	None
ENSP00000419279_1	None
ENSP00000305243_1	None
ENSP00000372394_1	None
ENSP00000372394_2	None
ENSP00000434199_1	None
ENSP00000434199_2	None
ENSP00000434199_3	None
ENSP00000313454_1	None
ENSP00000313454_2	None
ENSP00000313454_3	None
ENSP00000313454_4	None
ENSP00000399234_1	None
ENSP00000399234_2	None
ENSP00000399234_3	None
ENSP00000251527_1	None
ENSP00000251527_2	None
ENSP00000251527_3	None
ENSP00000251527_4	None
ENSP00000251527_5	A0FGR8
ENSP00000251527_6	A0FGR8
ENSP00000374218_1	A0FGR9
ENSP00000374218_2	A0FGR9
ENSP00000374218_3	A0FGR9
ENSP00000374218_4	A0FGR9
ENSP00000374218_5	A0FGR9
ENSP00000374218_6	A0FGR9
ENSP00000374218_7	A0FGR9
ENSP00000360316_1	Q15392
ENSP00000264245_1	Q2M1Z3
ENSP00000331214_1	A6NLE4
ENSP00000464976_1	A8MQ14
ENSP00000329056_1	A6NHA9
ENSP00000366114_1	A6ND91
ENSP00000349678_1	A2RUH7
ENSP00000368503_1	Q504U0
ENSP00000331343_1	P01912
ENSP00000369099_1	Q3LIE5
ENSP00000397419_1	Q49AN0
ENSP00000309539_1	Q16555
ENSP00000339145_1	Q14684
ENSP00000325017_1	Q15021
ENSP00000386791_1	B9A014
ENSP00000339302_1	O43497
ENSP00000343314_1	O00168
ENSP00000278840_1	O95864
ENSP00000336741_1	O43143
ENSP00000292432_1	P52790
ENSP00000262093_1	P22830
ENSP00000374218_8	A0FGR9
