chain	clen	end	method	resolution	start	structid	unp
A	1.0	245.0	solution nmr	-1.0	150.0	2DIS	A0AV96
A	1.0	885.0	solution nmr	-1.0	163.0	2DMG	A0FGR8
A	1.0	786.0	solution nmr	-1.0	728.0	2MIO	A1A4S6
A	1.0	241.0	x-ray diffraction	1.55	10.0	4IQY	A1Z1Q3
A	1.0	311.0	x-ray diffraction	2.5	1.0	3AL5	A2RUC4
A	1.0	451.0	x-ray diffraction	2.39	43.0	4CVH	A4D126
B	1.0	2430.0	x-ray diffraction	1.2	2420.0	4F14	A4UGR9
A	1.0	2361.0	x-ray diffraction	1.65	820.0	4CRU	A5YKK6
A	1.0	236.0	x-ray diffraction	1.85	44.0	2D3V	A6NI73
A	1.0	157.0	x-ray diffraction	1.6	34.0	3ZW5	A6NK44
A	1.0	285.0	x-ray diffraction	2.52	94.0	2FBE	A6NLU0
A	1.0	569.0	x-ray diffraction	1.77	367.0	3IUG	A7KAX9
B	1.0	660.0	solution nmr	-1.0	641.0	2K2I	A8K8P3
D	1.0	81.0	x-ray diffraction	7.0	6.0	4NDY	A8MT69
A	1.0	177.0	solution nmr	-1.0	1.0	2JTF	A8MW92
A	1.0	1043.0	x-ray diffraction	3.4	331.0	4HPF	A8MYU2
A	1.0	335.0	x-ray diffraction	2.1	13.0	2W2I	B2RXH2
B	1.0	196.0	x-ray diffraction	3.2	76.0	4IOP	D3W0D1
B	1.0	244.0	x-ray diffraction	2.89	176.0	4BRY	D6RGH6
A	1.0	252.0	x-ray diffraction	1.6	75.0	4PTB	H0Y4R8
A	1.0	550.0	x-ray diffraction	2.35	196.0	2GRY	O00139
A	1.0	473.0	x-ray diffraction	1.9	176.0	2R5T	O00141
A	1.0	315.0	solution nmr	-1.0	1.0	1X62	O00151
A	1.0	375.0	x-ray diffraction	2.8	217.0	2QQ2	O00154
A	1.0	755.0	x-ray diffraction	2.74	44.0	4BYF	O00159
A	1.0	153.0	x-ray diffraction	2.3	23.0	1NHL	O00161
