pdb	chain	unp	species	transcript
3ZGO	C	Q8IXJ6	HUMAN	ENST00000249396
3ZGO	C	Q8IXJ6	HUMAN	ENST00000392081
3ZGO	C	Q8IXJ6	HUMAN	ENST00000358931
pdb	chain	unp	species	transcript
3ZGO	A	Q8IXJ6	HUMAN	ENST00000249396
3ZGO	A	Q8IXJ6	HUMAN	ENST00000392081
3ZGO	A	Q8IXJ6	HUMAN	ENST00000358931
pdb	chain	unp	species	transcript
3ZGO	B	Q8IXJ6	HUMAN	ENST00000249396
3ZGO	B	Q8IXJ6	HUMAN	ENST00000392081
3ZGO	B	Q8IXJ6	HUMAN	ENST00000358931
pdb	chain	unp	species	transcript
3ZGO	C	Q8IXJ6	HUMAN	ENST00000249396
3ZGO	C	Q8IXJ6	HUMAN	ENST00000392081
3ZGO	C	Q8IXJ6	HUMAN	ENST00000358931
3ZGO	A	Q8IXJ6	HUMAN	ENST00000249396
3ZGO	A	Q8IXJ6	HUMAN	ENST00000392081
3ZGO	A	Q8IXJ6	HUMAN	ENST00000358931
3ZGO	B	Q8IXJ6	HUMAN	ENST00000249396
3ZGO	B	Q8IXJ6	HUMAN	ENST00000392081
3ZGO	B	Q8IXJ6	HUMAN	ENST00000358931
3ZGO	C	Q8IXJ6	HUMAN	ENST00000249396
3ZGO	C	Q8IXJ6	HUMAN	ENST00000392081
3ZGO	C	Q8IXJ6	HUMAN	ENST00000358931
