pdbid	transcript	conflicts	perc_conflicts	range_conflicts	perc_range_conflicts	mismatch_conflicts	perc_mistmatch_conflicts
3CGO	ENST00000395169	314	0.95	0	0	314	0.95
3CGO	ENST00000395160	317	0.95	104	0.31	213	0.64
3CGO	ENST00000395166	314	0.95	0	0	314	0.95
3CGF	ENST00000395169	328	0.95	0	0	328	0.95
3CGF	ENST00000395160	331	0.96	118	0.34	213	0.62
3CGF	ENST00000395166	328	0.95	0	0	328	0.95
3TEI	ENST00000526792	17	1	17	1	0	0
3TEI	ENST00000531382	16	0.94	0	0	16	0.94
3TEI	ENST00000374162	17	1	17	1	0	0
3TEM	ENST00000338130	1	0	0	0	1	0
3TEM	ENST00000380455	1	0	0	0	1	0
3TEM	ENST00000380430	1	0	0	0	1	0
3TEM	ENST00000338130	1	0	0	0	1	0
3TEM	ENST00000380455	1	0	0	0	1	0
3TEM	ENST00000380430	1	0	0	0	1	0
3TE3	ENST00000338519	32	0.94	3	0.09	29	0.85
3TE3	ENST00000338519	34	0.97	5	0.14	29	0.83
3TE3	ENST00000338519	36	0.97	7	0.19	29	0.78
3TE3	ENST00000338519	32	0.94	3	0.09	29	0.85
3TE3	ENST00000338519	30	0.91	1	0.03	29	0.88
3TE3	ENST00000338519	35	0.92	6	0.16	29	0.76
3TE7	ENST00000338130	1	0	0	0	1	0
3TE7	ENST00000380455	1	0	0	0	1	0
3TE7	ENST00000380430	1	0	0	0	1	0
3TE7	ENST00000338130	1	0	0	0	1	0
3TE7	ENST00000380455	1	0	0	0	1	0
3TE7	ENST00000380430	1	0	0	0	1	0
1HBS	ENST00000251595	134	0.95	0	0	134	0.95
1HBS	ENST00000320868	134	0.95	0	0	134	0.95
1HBS	ENST00000335295	135	0.92	0	0	135	0.92
1HBS	ENST00000251595	134	0.95	0	0	134	0.95
1HBS	ENST00000320868	134	0.95	0	0	134	0.95
1HBS	ENST00000335295	135	0.92	0	0	135	0.92
1HBS	ENST00000251595	134	0.95	0	0	134	0.95
1HBS	ENST00000320868	134	0.95	0	0	134	0.95
1HBS	ENST00000335295	135	0.92	0	0	135	0.92
1HBS	ENST00000251595	134	0.95	0	0	134	0.95
1HBS	ENST00000320868	134	0.95	0	0	134	0.95
1HBS	ENST00000335295	135	0.92	0	0	135	0.92
1ZTK	ENST00000403665	192	0.88	0	0	192	0.88
1ZTJ	ENST00000403665	192	0.88	0	0	192	0.88
3M1D	ENST00000530675	70	0.9	0	0	70	0.9
3M1D	ENST00000530675	69	0.9	0	0	69	0.9
3M1Q	ENST00000285379	129	0.5	1	0	128	0.5
3M1W	ENST00000285379	128	0.5	0	0	128	0.5
1LG2	ENST00000491855	1	0	0	0	1	0
1LG2	ENST00000255427	279	0.78	0	0	279	0.78
1LG6	ENST00000285379	117	0.46	0	0	117	0.46
1LG5	ENST00000285379	117	0.46	0	0	117	0.46
1JU6	ENST00000323274	1	0	0	0	1	0
1JU6	ENST00000323274	1	0	0	0	1	0
1JU6	ENST00000323274	1	0	0	0	1	0
1JU6	ENST00000323274	1	0	0	0	1	0
1PZL	ENST00000316673	215	0.95	0	0	215	0.95
1PZL	ENST00000443598	216	0.95	0	0	216	0.95
1PZL	ENST00000316099	216	0.95	0	0	216	0.95
1PZL	ENST00000457232	215	0.95	0	0	215	0.95
1PZL	ENST00000415691	216	0.95	0	0	216	0.95
1JUQ	ENST00000351904	83	0.56	0	0	83	0.56
1JUQ	ENST00000578348	136	0.92	0	0	136	0.92
1JUQ	ENST00000351904	85	0.55	0	0	85	0.55
1JUQ	ENST00000245541	2	0.01	0	0	2	0.01
1JUQ	ENST00000578348	141	0.91	0	0	141	0.91
1JUQ	ENST00000351904	82	0.56	0	0	82	0.56
1JUQ	ENST00000578348	135	0.92	0	0	135	0.92
1JUQ	ENST00000351904	85	0.55	0	0	85	0.55
1JUQ	ENST00000245541	2	0.01	0	0	2	0.01
1JUQ	ENST00000578348	141	0.91	0	0	141	0.91
1-Jun	ENST00000371222	40	0.93	0	0	40	0.93
1-Jun	ENST00000371222	40	0.93	0	0	40	0.93
1JUJ	ENST00000323274	1	0	0	0	1	0
1JUJ	ENST00000323274	1	0	0	0	1	0
1JUJ	ENST00000323274	1	0	0	0	1	0
1JUJ	ENST00000323274	1	0	0	0	1	0
1CWK	ENST00000468812	157	0.96	0	0	157	0.96
2EN0	ENST00000541009	29	1	29	1	0	0
2EN0	ENST00000537565	28	0.97	0	0	28	0.97
2EN2	ENST00000450123	16	0.55	0	0	16	0.55
2EN7	ENST00000541009	31	1	31	1	0	0
2EN7	ENST00000537565	30	0.97	0	0	30	0.97
2EN6	ENST00000541009	33	1	33	1	0	0
