pdbid	total_aa	distinct_bp	tot_aa_var_1kgenomes	dist_bp_var_1kgenomes	perc_var_1kgenomes
1CBL	584	146	584	429	1.0000
1CBM	584	146	584	429	1.0000
1FOS	119	60	119	63	1.0000
1GW4	46	46	45	58	0.9783
1GW3	46	46	45	58	0.9783
1ABW	431	286	395	585	0.9165
1ABY	431	286	395	585	0.9165
1O1L	434	288	397	586	0.9147
1C7C	434	288	397	586	0.9147
1C7D	434	288	397	586	0.9147
1O1P	434	288	397	586	0.9147
3PM0	455	455	401	486	0.8813
1GZX	545	288	477	589	0.8752
1G9V	545	288	477	589	0.8752
1B86	545	288	477	589	0.8752
3KMF	545	288	477	589	0.8752
1K0Y	545	288	477	589	0.8752
1RVW	287	287	251	589	0.8746
3IC2	574	287	502	589	0.8746
3QJD	574	287	502	589	0.8746
6HBW	574	287	502	589	0.8746
1YHR	574	287	502	589	0.8746
3D17	574	287	502	589	0.8746
1LFL	1148	287	1004	589	0.8746
1XZ2	574	287	502	589	0.8746
1Y35	574	287	502	586	0.8746
1GBV	574	287	502	589	0.8746
1NQP	574	287	502	589	0.8746
1YFF	1148	287	1004	589	0.8746
2HCO	287	287	251	589	0.8746
1YEO	574	287	502	586	0.8746
1BIJ	574	287	502	589	0.8746
1Y4R	574	287	502	586	0.8746
1LFY	287	287	251	589	0.8746
1HCO	287	287	251	589	0.8746
2HBD	287	287	251	589	0.8746
1RQ3	574	287	502	589	0.8746
1Y4B	574	287	502	586	0.8746
1YHE	574	287	502	589	0.8746
1YZI	287	287	251	589	0.8746
1R1X	287	287	251	589	0.8746
1DXT	574	287	502	589	0.8746
2DN3	287	287	251	589	0.8746
1Y7Z	574	287	502	586	0.8746
1HBA	574	287	502	589	0.8746
1AJ9	287	287	251	589	0.8746
1J40	1148	287	1004	589	0.8746
1Y7C	574	287	502	586	0.8746
1JY7	1722	287	1506	589	0.8746
3D7O	287	287	251	589	0.8746
2HHD	574	287	502	589	0.8746
1Y0T	574	287	502	586	0.8746
1FN3	574	287	502	589	0.8746
1Y5J	574	287	502	586	0.8746
1YE1	574	287	502	586	0.8746
1YIE	574	287	502	586	0.8746
1HGA	574	287	502	589	0.8746
3QJE	574	287	502	589	0.8746
3NL7	287	287	251	589	0.8746
1LFQ	287	287	251	589	0.8746
4HHB	574	287	502	589	0.8746
3ODQ	574	287	502	589	0.8746
3B75	1435	287	1255	589	0.8746
1THB	574	287	502	589	0.8746
3R5I	574	287	502	589	0.8746
1QSH	574	287	502	589	0.8746
2DXM	574	287	502	589	0.8746
1YEQ	574	287	502	586	0.8746
1Y4V	574	287	502	586	0.8746
1LFZ	287	287	251	589	0.8746
1QXD	574	287	502	589	0.8746
2HBE	287	287	251	589	0.8746
1SDK	574	287	502	589	0.8746
3QJB	287	287	251	589	0.8746
1Y4F	574	287	502	586	0.8746
1YVQ	574	287	502	589	0.8746
2H35	574	287	502	589	0.8746
1R1Y	574	287	502	589	0.8746
1Y2Z	574	287	502	586	0.8746
1Y83	574	287	502	586	0.8746
1YGD	574	287	502	586	0.8746
1HBB	574	287	502	589	0.8746
1J41	1148	287	1004	589	0.8746
1Y7D	574	287	502	586	0.8746
1YEU	574	287	502	586	0.8746
1Y0W	574	287	502	586	0.8746
1Y5K	574	287	502	586	0.8746
1YE2	574	287	502	586	0.8746
1HGB	574	287	502	589	0.8746
2W6V	574	287	502	589	0.8746
2HBS	1148	287	1004	589	0.8746
1Y4P	574	287	502	586	0.8746
1LFT	287	287	251	589	0.8746
1LJW	287	287	251	589	0.8746
3S65	574	287	502	589	0.8746
1Y45	574	287	502	586	0.8746
2YRS	1148	287	1004	589	0.8746
1CMY	574	287	502	589	0.8746
1XXT	574	287	502	589	0.8746
1QSI	574	287	502	589	0.8746
3HHB	574	287	502	589	0.8746
1NIH	574	287	502	589	0.8746
1IRD	287	287	251	589	0.8746
1J3Y	1148	287	1004	589	0.8746
1HAB	574	287	502	589	0.8746
1HDB	574	287	502	589	0.8746
3HXN	574	287	502	589	0.8746
1BBB	574	287	502	589	0.8746
1QXE	574	287	502	589	0.8746
2HBF	287	287	251	589	0.8746
1RQA	574	287	502	586	0.8746
1SDL	574	287	502	589	0.8746
3IC0	574	287	502	589	0.8746
3QJC	287	287	251	589	0.8746
1Y4G	574	287	502	586	0.8746
1K1K	287	287	251	589	0.8746
1KD2	574	287	502	589	0.8746
1YVT	287	287	251	589	0.8746
1DKE	574	287	502	589	0.8746
1NEJ	574	287	502	589	0.8746
1Y31	574	287	502	586	0.8746
1YGF	574	287	502	586	0.8746
1GBU	574	287	502	589	0.8746
1HBS	1148	287	1004	589	0.8746
1Y7G	574	287	502	586	0.8746
1BZ0	574	287	502	589	0.8746
3DUT	574	287	502	589	0.8746
1YIH	574	287	502	586	0.8746
1COH	574	287	502	589	0.8746
1HGC	574	287	502	589	0.8746
1Y4Q	574	287	502	586	0.8746
3NMM	574	287	502	589	0.8746
1LFV	287	287	251	589	0.8746
2HBC	287	287	251	589	0.8746
1RPS	574	287	502	589	0.8746
1Y46	574	287	502	586	0.8746
1YH9	574	287	502	589	0.8746
1M9P	574	287	502	589	0.8746
2DN2	574	287	502	589	0.8746
1YG5	574	287	502	586	0.8746
1CLS	574	287	502	589	0.8746
3OO4	287	287	251	589	0.8746
1J3Z	1148	287	1004	589	0.8746
1Y22	574	287	502	586	0.8746
1HAC	574	287	502	589	0.8746
1VWT	574	287	502	589	0.8746
1HHO	287	287	251	589	0.8746
1MKO	574	287	502	589	0.8746
2HHB	574	287	502	589	0.8746
1Y5F	574	287	502	586	0.8746
1YE0	574	287	502	586	0.8746
1UIW	1146	287	1002	589	0.8743
1A01	572	286	500	585	0.8741
1O1K	572	286	500	584	0.8741
1BAB	572	286	500	587	0.8741
1A3O	572	286	500	585	0.8741
4L7Y	572	286	500	585	0.8741
2D5Z	572	286	500	585	0.8741
1DXU	572	286	500	585	0.8741
1A0U	572	286	500	585	0.8741
1Y0D	572	286	500	587	0.8741
1A00	572	286	500	585	0.8741
2D60	572	286	500	585	0.8741
1DXV	572	286	500	585	0.8741
1A3N	572	286	500	585	0.8741
1Y85	572	286	500	585	0.8741
1A0Z	572	286	500	585	0.8741
1RQ4	570	285	498	582	0.8737
2HHE	570	285	498	582	0.8737
2DN1	285	285	249	583	0.8737
3P5Q	285	285	249	584	0.8737
1GLI	570	285	498	583	0.8737
3S66	285	285	249	584	0.8737
3WCP	568	284	496	578	0.8732
1YEV	568	284	496	579	0.8732
1YEN	568	284	496	579	0.8732
1BUW	566	283	494	575	0.8728
3OO5	283	283	247	577	0.8728
2W72	574	288	501	586	0.8728
1BZ1	576	288	502	589	0.8715
1QI8	574	287	500	584	0.8711
1C7B	574	287	500	584	0.8711
1J7W	574	287	500	584	0.8711
1Y0A	574	287	500	587	0.8711
1XZU	574	287	500	587	0.8711
1XYE	574	287	500	587	0.8711
1XZ4	574	287	500	587	0.8711
1J7Y	574	287	500	584	0.8711
1Y0C	574	287	500	587	0.8711
1XZV	574	287	500	587	0.8711
1BZZ	574	287	500	587	0.8711
1O1O	574	287	500	584	0.8711
1J7S	574	287	500	584	0.8711
1XZ5	574	287	500	587	0.8711
1YDZ	574	287	500	587	0.8711
1O1I	287	287	250	584	0.8711
1Y8W	574	287	500	587	0.8711
1Y09	574	287	500	587	0.8711
1XZ7	574	287	500	587	0.8711
1XY0	574	287	500	587	0.8711
3ONZ	265	265	229	511	0.8642
1OQA	109	109	88	130	0.8073
3COJ	1625	204	1265	242	0.7785
1N5O	203	203	158	241	0.7783
3PXA	203	203	158	241	0.7783
1T2U	203	203	158	241	0.7783
1JNX	203	203	158	241	0.7783
1T2V	1015	214	789	252	0.7773
3PXB	205	205	159	242	0.7756
3PXE	832	213	644	248	0.7740
3PXC	201	201	155	237	0.7711
2ING	205	205	158	241	0.7707
3PXD	207	207	159	242	0.7681
1T29	211	211	162	245	0.7678
3K15	211	211	162	245	0.7678
1Y98	211	211	162	245	0.7678
3K0K	211	211	162	245	0.7678
3K16	211	211	162	245	0.7678
1T15	211	211	162	245	0.7678
3K0H	211	211	162	245	0.7678
1FDH	574	287	330	231	0.5749
1LRM	307	307	174	271	0.5668
1DMW	307	307	174	271	0.5668
1J8T	307	307	174	271	0.5668
1KW0	307	307	174	271	0.5668
1J8U	307	307	174	271	0.5668
1MMK	309	309	175	272	0.5663
4ANP	309	309	175	272	0.5663
5PAH	308	308	174	271	0.5649
1PAH	308	308	174	271	0.5649
1TDW	308	308	174	271	0.5649
1MMT	308	308	174	271	0.5649
3PAH	308	308	174	271	0.5649
1TG2	308	308	174	271	0.5649
4PAH	308	308	174	271	0.5649
6PAH	308	308	174	271	0.5649
2K8F	39	39	22	23	0.5641
1QK9	92	92	51	74	0.5543
1SI4	574	287	318	221	0.5540
1SHR	574	287	318	221	0.5540
2XPG	371	371	204	349	0.5499
2PAH	632	323	346	271	0.5475
2HN7	373	373	204	349	0.5469
1EP9	320	320	173	243	0.5406
1OTH	321	321	173	243	0.5389
1FVO	642	321	346	243	0.5389
1C9Y	321	321	173	243	0.5389
3W4U	855	286	453	431	0.5298
3CBR	195	114	98	66	0.5026
3IA3	450	225	222	161	0.4933
1Z8U	451	226	222	161	0.4922
1Y01	203	203	98	141	0.4828
1QWH	206	111	99	66	0.4806
1Y1D	219	118	105	68	0.4795
3P3S	230	115	110	67	0.4783
2QGC	229	115	109	67	0.4760
4FI6	229	115	109	67	0.4760
3IMV	229	115	109	67	0.4760
3IMS	229	115	109	67	0.4760
2QGD	229	115	109	67	0.4760
3ESN	229	115	109	67	0.4760
3CN2	229	115	109	67	0.4760
3IMW	229	115	109	67	0.4760
3IMT	229	115	109	67	0.4760
2QGE	229	115	109	67	0.4760
3ESO	229	115	109	67	0.4760
3CN3	229	115	109	67	0.4760
3TCT	229	115	109	67	0.4760
2QGB	229	115	109	67	0.4760
3CN0	229	115	109	67	0.4760
3IMU	229	115	109	67	0.4760
3HJ0	229	115	109	67	0.4760
3ESP	229	115	109	67	0.4760
3CN4	229	115	109	67	0.4760
3IMR	229	115	109	67	0.4760
1X7T	227	117	108	67	0.4758
1G1O	459	116	218	67	0.4749
3GLZ	219	115	104	66	0.4749
2QEL	459	116	218	67	0.4749
1THA	234	118	111	68	0.4744
2ROX	234	118	111	68	0.4744
1E5A	232	116	110	67	0.4741
1U21	232	116	110	67	0.4741
3DJS	232	116	110	67	0.4741
3DO4	928	116	440	67	0.4741
1ICT	928	116	440	67	0.4741
5TTR	928	116	440	67	0.4741
3DK0	232	116	110	67	0.4741
4AC4	232	116	110	67	0.4741
1E4H	232	116	110	67	0.4741
3NEX	232	116	110	67	0.4741
3DK2	232	116	110	67	0.4741
3SSG	116	116	55	67	0.4741
3CN1	230	116	109	67	0.4739
3P3T	230	116	109	67	0.4739
4HIS	230	116	109	67	0.4739
1FH2	228	114	108	66	0.4737
1BMZ	228	114	108	66	0.4737
2H4E	228	114	108	66	0.4737
2PAB	228	114	108	66	0.4737
1BM7	228	114	108	66	0.4737
1ETB	235	118	111	68	0.4723
1THC	233	118	110	68	0.4721
3CFT	231	116	109	67	0.4719
3BT0	231	116	109	67	0.4719
4IK7	231	116	109	67	0.4719
3A4E	231	116	109	67	0.4719
